OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
15	29	0	692.89590	543.63229	622.63722	549.68610
15	29	1	897.61514	536.36771	830.99054	537.57848
15	30	0	376.73186	725.24664	325.85489	727.66816
15	30	1	568.12618	583.58744	522.09464	586.00897
15	31	0	305.26183	500.04484	376.73186	530.31390
15	31	1	147.78549	457.66816	236.21451	483.09417
15	32	0	1172.35331	317.82511	1198.28391	311.90135
15	32	1	1366.77603	263.94619	1406.63722	231.99103
15	33	0	586.98107	0.60538	480.24290	26.63677
15	33	1	914.65300	124.70852	802.46372	122.89238
15	34	0	899.35962	208.85650	962.40694	208.25112
15	34	1	1044.11672	244.57399	1116.85489	239.73094
15	35	0	384.64669	120.47085	305.47634	156.79372
15	35	1	745.63091	223.38565	658.58675	234.88789
15	36	0	916.99685	481.88341	758.30915	478.25112
15	36	1	1268.29022	497.62332	1056.30284	481.88341
15	37	0	959.39432	891.12108	661.40063	875.38117
15	37	1	500.29022	680.44843	279.82334	685.29148
15	38	0	1003.00315	794.26009	725.60252	786.99552
15	38	1	615.36909	605.38117	341.60252	605.38117
15	39	0	877.02208	768.83408	646.86435	755.51570
15	39	1	459.10410	650.17937	306.47319	648.96861
15	40	0	737.71609	211.88341	450.62461	220.35874
15	40	1	1214.99054	232.46637	860.06309	209.46188
17	0	0	1229.70640	716.36455	1219.19322	624.44482
17	0	1	1279.69385	716.36455	1270.98745	621.43478
17	1	0	1323.20452	680.69900	1302.33124	580.07692
17	1	1	1275.62610	670.46488	1245.11669	574.65886
17	2	0	1300.94354	650.22074	1331.25094	542.76923
17	2	1	1354.54454	644.20067	1386.05646	530.72910
17	3	0	1249.54580	631.19064	1329.75031	528.64883
17	4	0	1407.27788	737.59462	875.52930	670.31915
17	4	1	1549.43289	713.70885	1032.80718	627.68757
17	5	0	1332.19573	407.59197	1438.79548	278.24080
17	6	0	1361.10414	493.07692	1489.98745	361.31773
17	7	0	1390.01255	507.52508	1514.07779	376.36789
17	8	0	1435.78419	488.26087	1563.46299	346.86957
17	9	0	1444.21581	441.90635	1550.81556	299.91304
17	10	0	1409.88708	446.12040	1534.55458	307.73913
17	11	0	1714.02760	461.17057	1891.69385	269.81271
17	12	0	1821.83187	889.76589	1717.64115	748.29431
17	12	1	1732.09536	891.57191	1624.29109	758.52843
17	13	0	1886.87578	868.69565	1806.17315	717.59197
17	13	1	1780.27604	866.28763	1704.39147	724.81605
17	14	0	1767.02635	921.07023	1152.53450	819.93311
17	14	1	1844.71769	904.21405	1204.93099	797.05686
17	15	0	1818.82058	939.73244	1522.50941	810.90301
17	15	1	1897.71644	945.75251	1583.33752	810.30100
17	16	0	122.19282	514.83651	25.40643	575.51624
17	16	1	242.57089	535.39642	148.20416	577.93505
17	17	0	1822.98191	777.07317	374.89707	732.77162
17	18	0	1598.39398	718.79599	1504.44166	587.55853
17	18	1	1839.29737	703.14381	1735.70891	543.01003
17	19	0	1175.75614	711.38410	872.65217	644.89698
17	19	1	1291.89981	658.47256	984.25898	577.77492
17	20	0	1820.58640	778.27051	364.11728	726.78492
17	21	0	1128.77127	696.61814	770.66163	636.14782
17	21	1	1638.10964	383.38186	1218.29868	249.13774
17	22	0	508.12854	828.44345	206.85822	830.91377
17	22	1	866.23819	774.02016	644.81664	728.71892
17	23	0	1836.52174	605.91265	1899.43289	412.40761
17	24	0	1865.55766	697.82755	1835.31191	516.41657
17	25	0	1526.26087	629.87234	1480.62571	487.99328
17	25	1	1697.75425	611.73124	1665.42722	442.33819
17	26	0	1580.13662	368.63193	1571.83656	216.46563
17	27	0	1557.34026	909.36058	999.57845	809.73236
17	27	1	1653.21928	918.12878	1103.62382	807.01120
17	28	0	1676.21928	837.61478	1122.25898	723.96529
17	28	1	1779.35728	863.01232	1222.37240	739.98992
18	0	0	1711.87970	708.71047	1627.06767	778.57461
18	0	1	1865.26316	690.67038	1786.46617	776.16927
18	1	0	869.46617	670.64811	641.20301	632.81737
