"sample","family","genus","species","length","range","number","mass.g","length.cm","campaignid","latitude","longitude","date.time","location","status","depth","successful.count","successful.length","id"
"12","Carangidae","Carangoides","fulvoguttatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Carangidae","Carangoides","gymnostethus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Carangidae","Gnathanodon","speciosus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Carcharhinidae","Carcharhinus","albimarginatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Carcharhinidae","Carcharhinus","plumbeus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Chaetodontidae","Chaetodon","assarius",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Chaetodontidae","Heniochus","acuminatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Chaetodontidae","Heniochus","diphreutes",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Cirrhitidae","Cyprinocirrhites","polyactis",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Echeneidae","Echeneis","naucrates",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Holocentridae","Sargocentron","rubrum",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Labridae","Bodianus","bilunulatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Labridae","Bodianus","solatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Labridae","Coris","caudimacula",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Labridae","Labroides","dimidiatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Labridae","Suezichthys","cyanolaemus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
"12","Lethrinidae","Lethrinus","ravus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.7137,113.5364,2021-05-20 02:49:29,"Point Cloates","No-take",107,"Yes","Yes","2021-05_PtCloates_BOSS.12"
