OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
20210309_0735-1530	31	97	20210309_0735-1530_TOP_0019_0001.mp4	32185	368.94914	20210309_0735-1530_TOP_0019_0001.mp4	42974	371.94908	1
20210309_0735-1530	32	121	20210309_0735-1530_TOP_0019_0001.mp4	71033	379.75104	20210309_0735-1530_TOP_0020_0001.mp4	9894	382.75098	1
20210309_0735-1530	33	3	20210309_0735-1530_TOP_0020_0001.mp4	43458	392.08364	20210309_0735-1530_TOP_0020_0001.mp4	54247	395.08358	1
20210309_0735-1530	34	73	20210309_0735-1530_TOP_0021_0001.mp4	5378	401.49526	20210309_0735-1530_TOP_0021_0001.mp4	16167	404.49520	1
20210309_0735-1530	35	118	20210309_0735-1530_TOP_0021_0001.mp4	60478	416.81612	20210309_0735-1530_TOP_0021_0001.mp4	71267	419.81606	1
20210309_0735-1530	36	128	20210309_0735-1530_TOP_0022_0001.mp4	23817	426.62259	20210309_0735-1530_TOP_0022_0001.mp4	34606	429.62253	1
20210309_0735-1530	37	60	20210309_0735-1530_TOP_0022_0001.mp4	57958	436.11568	20210309_0735-1530_TOP_0022_0001.mp4	68747	439.11562	1
20210309_0735-1530	38	134	20210309_0735-1530_TOP_0023_0001.mp4	46668	452.97641	20210309_0735-1530_TOP_0023_0001.mp4	57457	455.97635	1
20210309_0735-1530	39	120	20210309_0735-1530_TOP_0024_0001.mp4	6039	461.67927	20210309_0735-1530_TOP_0024_0001.mp4	16828	464.67921	1
20210309_0735-1530	40	8	20210309_0735-1530_TOP_0024_0001.mp4	47920	473.32452	20210309_0735-1530_TOP_0024_0001.mp4	58709	476.32446	1
20210309_0735-1530	41	68	20210309_0735-1530_TOP_0025_0001.mp4	14706	484.08916	20210309_0735-1530_TOP_0025_0001.mp4	25495	487.08910	1
20210310_0737-1601	0	117	20210310_0737-1601_TOP_0003.mp4	33573	30.67648	20210310_0737-1601_TOP_0004.mp4	6469	33.67642	1
20210310_0737-1601	1	17	20210310_0737-1601_TOP_0005.mp4	1449	42.83752	20210310_0737-1601_TOP_0005.mp4	12238	45.83746	1
20210310_0737-1601	2	40	20210310_0737-1601_TOP_0006.mp4	4411	54.26532	20210310_0737-1601_TOP_0006.mp4	15200	57.26526	1
20210310_0737-1601	3	72	20210310_0737-1601_TOP_0007.mp4	13246	67.38232	20210310_0737-1601_TOP_0007.mp4	24035	70.38226	1
20210310_0737-1601	4	109	20210310_0737-1601_TOP_0008.mp4	29533	82.56192	20210310_0737-1601_TOP_0009.mp4	2507	85.56187	1
20210310_0737-1601	5	145	20210310_0737-1601_TOP_0010.mp4	4053	96.51364	20210310_0737-1601_TOP_0010.mp4	14842	99.51358	1
20210310_0737-1601	6	S1	20210310_0737-1601_TOP_0014.mp4	5470	138.96327	20210310_0737-1601_TOP_0014.mp4	16259	141.96321	1
20210310_0737-1601	7	S2	20210310_0737-1601_TOP_0015.mp4	13340	151.73853	20210310_0737-1601_TOP_0015.mp4	24129	154.73847	1
20210310_0737-1601	8	S3	20210310_0737-1601_TOP_0016.mp4	17975	163.59176	20210310_0737-1601_TOP_0016.mp4	28764	166.59170	1
20210310_0737-1601	9	90	20210310_0737-1601_TOP_0020.mp4	8991	203.39986	20210310_0737-1601_TOP_0020.mp4	19780	206.39980	1
20210310_0737-1601	10	22	20210310_0737-1601_TOP_0021.mp4	22761	217.81871	20210310_0737-1601_TOP_0021.mp4	33550	220.81865	1
20210310_0737-1601	11	77	20210310_0737-1601_TOP_0022.mp4	27752	229.75925	20210310_0737-1601_TOP_0023.mp4	571	232.75919	1
20210310_0737-1601	12	82	20210310_0737-1601_TOP_0023.mp4	31145	241.26046	20210310_0737-1601_TOP_0024.mp4	3860	244.26041	1
20210310_0737-1601	13	49	20210310_0737-1601_TOP_0024.mp4	35649	253.09951	20210310_0737-1601_TOP_0025.mp4	8449	256.09945	1
20210310_0737-1601	14	141	20210310_0737-1601_TOP_0026.mp4	11559	267.51475	20210310_0737-1601_TOP_0026.mp4	22348	270.51469	1
20210310_0737-1601	15	11	20210310_0737-1601_TOP_0027.mp4	19415	280.29863	20210310_0737-1601_TOP_0027.mp4	30204	283.29857	1
20210310_0737-1601	16	146	20210310_0737-1601_TOP_0028.mp4	33950	294.83815	20210310_0737-1601_TOP_0029.mp4	7007	297.83810	1
20210310_0737-1601	17	18	20210310_0737-1601_TOP_0029.mp4	32811	305.01304	20210310_0737-1601_TOP_0030.mp4	5493	308.01298	1
20210310_0737-1601	18	42	20210310_0737-1601_TOP_0030.mp4	31037	315.11563	20210310_0737-1601_TOP_0031.mp4	3911	318.11558	1
20210310_0737-1601	19	84	20210310_0737-1601_TOP_0031.mp4	25513	324.12213	20210310_0737-1601_TOP_0031.mp4	36302	327.12207	1
20210310_0737-1601	20	20	20210310_0737-1601_TOP_0032.mp4	27267	335.19236	20210310_0737-1601_TOP_0032.mp4	38056	338.19230	1
20210310_0737-1601	21	55	20210310_0737-1601_TOP_0033.mp4	25476	345.30969	20210310_0737-1601_TOP_0033.mp4	36265	348.30963	1
20210310_0737-1601	22	115	20210310_0737-1601_TOP_0034.mp4	23332	355.36001	20210310_0737-1601_TOP_0034.mp4	34121	358.35995	1
20210310_0737-1601	23	96	20210310_0737-1601_TOP_0035.mp4	19844	364.99908	20210310_0737-1601_TOP_0035.mp4	30633	367.99902	1
20210310_0737-1601	24	89	20210310_0737-1601_TOP_0036.mp4	15085	374.30560	20210310_0737-1601_TOP_0036.mp4	25874	377.30554	1
20210310_0737-1601	25	131	20210310_0737-1601_TOP_0037.mp4	11577	383.91993	20210310_0737-1601_TOP_0037.mp4	22366	386.91987	1
20210310_0737-1601	26	112	20210310_0737-1601_TOP_0038.mp4	10242	394.15932	20210310_0737-1601_TOP_0038.mp4	21031	397.15926	1
20210310_0737-1601	27	101	20210310_0737-1601_TOP_0039.mp4	4051	403.04625	20210310_0737-1601_TOP_0039.mp4	14840	406.04620	1
20210310_0737-1601	28	12	20210310_0737-1601_TOP_0039.mp4	34719	411.57366	20210310_0737-1601_TOP_0040.mp4	7282	414.57360	1
20210310_0737-1601	29	54	20210310_0737-1601_TOP_0040.mp4	36924	422.81573	20210310_0737-1601_TOP_0041.mp4	9657	425.81567	1
20210310_0737-1601	30	94	20210310_0737-1601_TOP_0042.mp4	5826	435.39385	20210310_0737-1601_TOP_0042.mp4	16615	438.39379	1
20210310_0737-1601	31	4	20210310_0737-1601_TOP_0043.mp4	3130	445.26260	20210310_0737-1601_TOP_0043.mp4	13919	448.26254	1
20210310_0737-1601	32	79	20210310_0737-1601_TOP_0043.mp4	36919	454.65781	20210310_0737-1601_TOP_0044.mp4	9539	457.65776	1
20210310_0737-1601	33	103	20210310_0737-1601_TOP_0045.mp4	1329	465.98135	20210310_0737-1601_TOP_0045.mp4	12118	468.98129	1
20210310_0737-1601	34	129	20210310_0737-1601_TOP_0045.mp4	36674	475.80922	20210310_0737-1601_TOP_0046.mp4	9093	478.80916	1
20210310_0737-1601	35	45	20210310_0737-1601_TOP_0046.mp4	32472	485.30983	20210310_0737-1601_TOP_0047.mp4	4873	488.30977	1
20210310_0737-1601	36	143	20210310_0737-1601_TOP_0047.mp4	28237	494.80626	20210310_0737-1601_TOP_0048.mp4	861	497.80620	1
20210310_0737-1601	37	113	20210310_0737-1601_TOP_0048.mp4	24409	504.35385	20210310_0737-1601_TOP_0048.mp4	35198	507.35379	1
20210310_0737-1601	38	122	20210310_0737-1601_TOP_0049.mp4	18280	513.29639	20210310_0737-1601_TOP_0049.mp4	29069	516.29634	1
20210311_0735-1315	0	27	20210311_0735-1315_TOP_0002.mp4	20331	16.25402	20210311_0735-1315_TOP_0002.mp4	31120	19.25396	1
20210311_0735-1315	1	135	20210311_0735-1315_TOP_0003.mp4	34881	30.85471	20210311_0735-1315_TOP_0004.mp4	7900	33.85465	1
20210311_0735-1315	2	74	20210311_0735-1315_TOP_0004.mp4	30261	40.07225	20210311_0735-1315_TOP_0005.mp4	2885	43.07220	1
20210311_0735-1315	3	105	20210311_0735-1315_TOP_0005.mp4	31607	51.05851	20210311_0735-1315_TOP_0006.mp4	4179	54.05845	1
20210311_0735-1315	4	63	20210311_0735-1315_TOP_0006.mp4	31002	61.51673	20210311_0735-1315_TOP_0007.mp4	3679	64.51667	1
20210311_0735-1315	5	25	20210311_0735-1315_TOP_0007.mp4	35710	73.42307	20210311_0735-1315_TOP_0008.mp4	8510	76.42301	1
20210311_0735-1315	6	59	20210311_0735-1315_TOP_0008.mp4	30457	82.52550	20210311_0735-1315_TOP_0009.mp4	3136	85.52544	1
20210311_0735-1315	7	123	20210311_0735-1315_TOP_0010.mp4	4783	96.56286	20210311_0735-1315_TOP_0010.mp4	15572	99.56280	1
20210311_0735-1315	8	119	20210311_0735-1315_TOP_0011.mp4	13356	109.51830	20210311_0735-1315_TOP_0011.mp4	24145	112.51824	1
20210311_0735-1315	9	15	20210311_0735-1315_TOP_0012.mp4	12624	119.92898	20210311_0735-1315_TOP_0012.mp4	23413	122.92892	1
20210311_0735-1315	10	85	20210311_0735-1315_TOP_0013.mp4	18143	132.07639	20210311_0735-1315_TOP_0013.mp4	28932	135.07633	1
20210311_0735-1315	11	81	20210311_0735-1315_TOP_0014.mp4	19497	143.03539	20210311_0735-1315_TOP_0014.mp4	30286	146.03533	1
20210311_0735-1315	12	29	20210311_0735-1315_TOP_0017.mp4	1538	169.66978	20210311_0735-1315_TOP_0017.mp4	12327	172.66972	1
20210311_0735-1315	13	61	20210311_0735-1315_TOP_0018.mp4	859	180.07990	20210311_0735-1315_TOP_0018.mp4	11648	183.07984	1
20210311_0735-1315	14	21	20210311_0735-1315_TOP_0019.mp4	7263	192.46588	20210311_0735-1315_TOP_0019.mp4	18052	195.46583	1
20210311_0735-1315	15	58	20210311_0735-1315_TOP_0020.mp4	11879	204.35026	20210311_0735-1315_TOP_0020.mp4	22668	207.35020	1
20210311_0735-1315	16	87	20210311_0735-1315_TOP_0021.mp4	14267	215.62819	20210311_0735-1315_TOP_0021.mp4	25056	218.62813	1
20210311_0735-1315	17	132	20210311_0735-1315_TOP_0022.mp4	21888	228.35368	20210311_0735-1315_TOP_0022.mp4	32677	231.35362	1
20210311_0735-1315	18	9	20210311_0735-1315_TOP_0023.mp4	20781	238.57000	20210311_0735-1315_TOP_0023.mp4	31570	241.56994	1
20210311_0735-1315	19	111	20210311_0735-1315_TOP_0024.mp4	32099	252.29176	20210311_0735-1315_TOP_0025.mp4	4937	255.29170	1
20210311_0735-1315	20	142	20210311_0735-1315_TOP_0025.mp4	37662	264.39107	20210311_0735-1315_TOP_0026.mp4	10354	267.39101	1
20210311_0735-1315	21	66	20210311_0735-1315_TOP_0027.mp4	6472	276.93026	20210311_0735-1315_TOP_0027.mp4	17261	279.93021	1
20210311_0735-1315	22	34	20210311_0735-1315_TOP_0028.mp4	10714	288.68840	20210311_0735-1315_TOP_0028.mp4	21503	291.68834	1
20210311_0735-1315	23	19	20210311_0735-1315_TOP_0029.mp4	12286	299.73972	20210311_0735-1315_TOP_0029.mp4	23075	302.73966	1
20210311_0735-1315	24	75	20210311_0735-1315_TOP_0030.mp4	16918	311.65662	20210311_0735-1315_TOP_0030.mp4	27707	314.65656	1
20210311_0735-1315	25	51	20210311_0735-1315_TOP_0031.mp4	25520	324.64877	20210311_0735-1315_TOP_0031.mp4	36309	327.64871	1
20210311_0735-1315	26	31	20210311_0735-1315_TOP_0032.mp4	30823	336.69024	20210311_0735-1315_TOP_0033.mp4	3513	339.69018	1
20210311_0735-1315	27	13	20210311_0735-1315_TOP_0033.mp4	34394	348.27682	20210311_0735-1315_TOP_0034.mp4	6973	351.27676	1
