"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date.time","location","status","depth","successful.count","successful.length","unique_id"
"2022-05_PtCloates_Naked-BOSS","216","20220521_BOTTOM_3_0004_0001.mp4","2.84284","Carangidae","Carangoides","spp",1,"-22.7451","113.5437","2022-05-21T14:12:02+0800","Point Cloates","No-take","86.5","Yes","Yes","2022-05_PtCloates_Naked-BOSS_216"
"2022-05_PtCloates_Naked-BOSS","216","20220521_BOTTOM_3_0004_0001.mp4","1.44895","Pinguipedidae","Parapercis","nebulosa",3,"-22.7451","113.5437","2022-05-21T14:12:02+0800","Point Cloates","No-take","86.5","Yes","Yes","2022-05_PtCloates_Naked-BOSS_216"
"2022-05_PtCloates_Naked-BOSS","216","20220521_BOTTOM_3_0004_0001.mp4","1.90941","SUS","SUS","SUS",1,"-22.7451","113.5437","2022-05-21T14:12:02+0800","Point Cloates","No-take","86.5","Yes","Yes","2022-05_PtCloates_Naked-BOSS_216"
"2022-05_PtCloates_Naked-BOSS","217","20220525_BOTTOM_4_0002_0001.mp4","2.45551","Gobiidae",NA,"spp",1,"-22.7179","113.5593","2022-05-25T13:28:40+0800","Point Cloates","No-take","73.2","Yes","Yes","2022-05_PtCloates_Naked-BOSS_217"
"2022-05_PtCloates_Naked-BOSS","218","20220525_BOTTOM_3_0004_0001.mp4","0.50606","Pinguipedidae","Parapercis","nebulosa",3,"-22.726","113.5411","2022-05-25T11:55:43+0800","Point Cloates","No-take","97.7","Yes","Yes","2022-05_PtCloates_Naked-BOSS_218"
"2022-05_PtCloates_Naked-BOSS","219","20220521_BOTTOM_4_0003_0001.mp4","1.15310","Labridae","Labroides","dimidiatus",1,"-22.7317","113.543","2022-05-21T16:11:52+0800","Point Cloates","No-take","90.7","Yes","Yes","2022-05_PtCloates_Naked-BOSS_219"
"2022-05_PtCloates_Naked-BOSS","219","20220521_BOTTOM_4_0003_0001.mp4","1.15310","Serranidae","Pseudanthias","georgei",6,"-22.7317","113.543","2022-05-21T16:11:52+0800","Point Cloates","No-take","90.7","Yes","Yes","2022-05_PtCloates_Naked-BOSS_219"
"2022-05_PtCloates_Naked-BOSS","219","20220521_BOTTOM_4_0003_0001.mp4","0.93232","SUS","SUS","SUS",2,"-22.7317","113.543","2022-05-21T16:11:52+0800","Point Cloates","No-take","90.7","Yes","Yes","2022-05_PtCloates_Naked-BOSS_219"
"2022-05_PtCloates_Naked-BOSS","220","20220525_BOTTOM_4_0007_0001.mp4","0.01223","Nemipteridae","Pentapodus","nagasakiensis",1,"-22.7067","113.5554","2022-05-25T15:00:42+0800","Point Cloates","No-take","80.8","Yes","Yes","2022-05_PtCloates_Naked-BOSS_220"
"2022-05_PtCloates_Naked-BOSS","220","20220525_BOTTOM_4_0007_0001.mp4","0.36147","Unknown","Unknown","Unknown",1,"-22.7067","113.5554","2022-05-25T15:00:42+0800","Point Cloates","No-take","80.8","Yes","Yes","2022-05_PtCloates_Naked-BOSS_220"
